modzcta,modzcta_name,label,lat,lon,hospitalization_count_28day,hospitalization_rate_28day,death_count_28day,death_rate_28day,daterange
11210,Flatlands/Midwood,11210,40.628165,-73.946316,18,27.4,,,August 1-August 28
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),"11211, 11249",40.712334,-73.953851,17,16.7,,,August 1-August 28
11212,Ocean Hill-Brownsville,11212,40.662935,-73.913011,50,67.6,,,August 1-August 28
11213,Crown Heights (East),11213,40.671074,-73.93633,32,49.5,0,0.0,August 1-August 28
11214,Bath Beach/Bensonhurst/Gravesend,11214,40.598729,-73.99621,35,37.7,,,August 1-August 28
11215,Gowanus/Park Slope/Windsor Terrace,11215,40.66252,-73.986872,3,,,,August 1-August 28
11216,Bedford-Stuyvesant (West)/Crown Heights (West),11216,40.680785,-73.94931,11,20.1,,,August 1-August 28
11217,Boerum Hill/Park Slope,"11217, 11243",40.682417,-73.97938,1,,0,0.0,August 1-August 28
11218,Kensington/Windsor Terrace,11218,40.64348,-73.976044,24,32.4,,,August 1-August 28
11219,Borough Park,11219,40.632662,-73.996666,15,16.7,,,August 1-August 28
11220,Sunset Park,11220,40.641081,-74.016495,6,6.3,,,August 1-August 28
11221,Bedford-Stuyvesant (East)/Bushwick,11221,40.691339,-73.927885,33,40.5,,,August 1-August 28
11222,Greenpoint,11222,40.728292,-73.947562,6,16.6,0,0.0,August 1-August 28
11223,Gravesend/Homecrest,11223,40.597169,-73.973422,30,36.8,0,0.0,August 1-August 28
11224,Brighton Beach/Coney Island/Seagate,11224,40.57666,-73.988581,25,54.0,9,19.5,August 1-August 28
11225,Crown Heights (West)/Prospect Lefferts Gardens,11225,40.663056,-73.954226,15,26.1,,,August 1-August 28
11226,Flatbush/Prospect Lefferts Gardens,11226,40.646456,-73.956654,36,37.0,,,August 1-August 28
11228,Bath Beach/Dyker Heights,11228,40.616715,-74.013054,12,26.7,,,August 1-August 28
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,11229,40.601175,-73.944465,28,33.5,,,August 1-August 28
11230,Midwood,11230,40.622164,-73.965096,28,31.5,,,August 1-August 28
11231,Carroll Gardens/Cobble Hill/Red Hook,11231,40.677562,-74.004445,6,16.1,0,0.0,August 1-August 28
11232,Sunset Park,11232,40.655984,-74.005304,3,,0,0.0,August 1-August 28
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,11233,40.678302,-73.919931,29,39.0,,,August 1-August 28
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,11234,40.60758,-73.910513,31,33.0,,,August 1-August 28
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,11235,40.583915,-73.949669,43,55.0,7,9.0,August 1-August 28
