date,Admit_0_4,Admit_5_12,Admit_13_17,Admit_18_24,Admit_25_34,Admit_35_44,Admit_45_54,Admit_55_64,Admit_65_74,Admit_75_,Admit_All_ages,Visit_0_4,Visit_5_12,Visit_13_17,Visit_18_24,Visit_25_34,Visit_35_44,Visit_45_54,Visit_55_64,Visit_65_74,Visit_75_,Visit_All_ages
2021-08-26,2.241984904,0.5310729489,0.2280557307,0.4146106039,0.666977923,1.2207723129,1.6097676916,2.3000115001,2.431635289,5.8503587915,1.5835693606,23.167177341,5.1779612522,5.0172260763,7.0483802659,5.7360101381,6.0166635421,7.480685155,8.4000420002,6.5797190174,10.786599022,7.8464075836
2021-08-27,3.5498094313,0.2655364745,0.2280557307,0.4146106039,0.5335823384,0.8719802235,1.3256910401,2.4000120001,2.574672659,4.2049453814,1.4525974586,25.409162245,5.8418024384,3.1927802304,6.4955661274,5.4692189689,5.493475408,6.0603018977,7.6000380002,6.5797190174,8.0442433384,7.3344265121
2021-08-28,2.0551528286,0.2655364745,0.2280557307,0.4146106039,0.7336757153,0.6103861564,1.230998823,1.600008,2.574672659,5.6675350793,1.3454386297,24.101337718,3.9830471171,1.5963901152,4.5607166426,4.402054292,3.4007228716,5.1133797262,5.3000265001,4.8632705781,9.1411856118,5.8937355901
2021-08-29,1.681488678,0.5310729489,0,0.4146106039,0.5335823384,0.9591782458,1.3256910401,1.7000085,3.8620089885,5.1190639426,1.440690922,24.288169793,5.5762659639,2.5086130381,4.8371237119,5.4025211765,5.493475408,5.586840812,7.1000355002,7.8670553469,10.420951597,7.1915480736
2021-08-30,3.1761452806,0.3983047117,0.4561114615,0.2764070693,1.0004668845,0.7847822011,1.7044599087,1.5000075,4.0050463584,4.2049453814,1.571662824,32.321949032,4.9124247778,4.3330588841,4.5607166426,7.4034549456,5.9294655197,7.5753773722,4.9000245001,9.2974290463,7.6785959139,8.0607252414
2021-08-31,3.7366415066,0.6638411862,0.2280557307,0.1382035346,0.6002801307,1.3079703352,1.9885365602,2.9000145001,3.1468221388,5.4847113671,1.8217000915,25.59599432,5.3107294895,4.1050031533,3.5932919003,5.936103515,7.1502378326,6.9125318521,8.0000400002,6.8657937573,10.786599022,7.7630618278
2021-09-01,3.7366415066,0.1327682372,0,0.2764070693,0.7336757153,0.3487920894,1.3256910401,1.7000085,1.8594858093,4.7534165181,1.2859059469,19.61736791,3.1864376937,2.7366687689,4.422513108,4.0018675382,4.2727030951,4.9239952919,5.9000295001,6.1506069076,8.9583618995,5.7746702247
2021-09-02,1.8683207533,0.2655364745,0.2280557307,0.6910176731,0.666977923,1.1335742905,1.893844343,1.400007,3.4328968786,4.7534165181,1.4883170682,21.298856588,3.7175106426,2.5086130381,4.422513108,5.8694057227,5.3190793633,6.3443785492,6.2000310002,9.8695785261,9.6896567485,6.9653238792
2021-09-03,3.362977356,0.2655364745,0,0.5528141385,0.4001867538,0.7847822011,1.1363066058,1.3000065,1.7164484393,4.7534165181,1.2144667277,25.969658471,4.6468883033,2.5086130381,4.9753272465,5.3358233842,5.5806734303,5.1133797262,6.4000320002,6.2936442775,7.8614196261,6.786725831
2021-09-04,3.5498094313,0.1327682372,0,0.5528141385,0.7336757153,1.0463762682,0.5681533029,1.7000085,2.8607473989,3.6564742447,1.30971902,24.661833944,4.9124247778,4.5611146148,3.8696989695,4.2019609151,5.3190793633,4.7346108576,6.1000305002,6.7227563873,7.6785959139,6.4414362712
2021-09-05,1.8683207533,0.9293776607,0,0.2764070693,0.4001867538,0.8719802235,1.230998823,2.0000100001,2.2885979191,4.9362402304,1.3216255566,25.969658471,5.1779612522,3.4208359611,5.9427519889,4.1352631228,4.5342971621,5.8709174634,6.8000340002,8.4392048267,8.7755381873,6.9891369523
