modzcta,modzcta_name,label,lat,lon,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange
11004,Bellerose/Douglaston-Little Neck,"11004, 11005",40.748068,-73.710907,3.56,450,16,369.4,Yes,September 4-September 10
11101,Astoria (South)/Long Island City/Sunnyside,11101,40.747077,-73.938586,2.31,1821,42,594.5,Yes,September 4-September 10
11102,Astoria (North),11102,40.772498,-73.925912,3.04,1053,32,492.6,Yes,September 4-September 10
11103,Astoria (North)/Astoria (South),11103,40.762536,-73.913541,2.37,1137,27,535.2,Yes,September 4-September 10
11104,Sunnyside,11104,40.744658,-73.920205,1.68,832,14,471.8,Yes,September 4-September 10
11105,Ditmars Steinway,11105,40.778969,-73.906286,2.63,835,22,378.6,Yes,September 4-September 10
11106,Astoria (South),11106,40.761792,-73.931771,2.85,1192,34,462.2,Yes,September 4-September 10
11109,Long Island City,11109,40.746211,-73.956999,1.72,290,5,572.6,Yes,September 4-September 10
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,11201,40.694609,-73.989581,1.27,3703,47,1004.9,Yes,September 4-September 10
11203,East Flatbush (North)/East Flatbush (South),11203,40.649576,-73.934363,2.72,2390,65,575.6,Yes,September 4-September 10
11204,Bensonhurst/Mapleton,11204,40.618774,-73.984824,4.78,1402,67,276.3,Yes,September 4-September 10
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,11205,40.694625,-73.966212,2.57,1752,45,659.6,Yes,September 4-September 10
11206,Williamsburg (South),11206,40.701957,-73.942361,3.17,2399,76,432.5,Yes,September 4-September 10
11207,Cypress Hills/East New York,11207,40.670819,-73.894255,3.78,2854,108,565,Yes,September 4-September 10
11208,Cypress Hills/East New York,11208,40.668385,-73.871084,3.84,2216,85,393.4,Yes,September 4-September 10
11209,Bay Ridge/Fort Hamilton,11209,40.621811,-74.030011,3.5,2200,77,525.8,Yes,September 4-September 10
11210,Flatlands/Midwood,11210,40.628165,-73.946316,2.91,1579,46,403.4,Yes,September 4-September 10
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),"11211, 11249",40.712334,-73.953851,3.16,3674,116,642.3,Yes,September 4-September 10
11212,Ocean Hill-Brownsville,11212,40.662935,-73.913011,3.94,2384,94,608.4,Yes,September 4-September 10
11213,Crown Heights (East),11213,40.671074,-73.93633,2.96,2260,67,626.9,Yes,September 4-September 10
11214,Bath Beach/Bensonhurst/Gravesend,11214,40.598729,-73.99621,3.89,1695,66,287.7,Yes,September 4-September 10
11215,Gowanus/Park Slope/Windsor Terrace,11215,40.66252,-73.986872,1.88,3350,63,787.1,Yes,September 4-September 10
11216,Bedford-Stuyvesant (West)/Crown Heights (West),11216,40.680785,-73.94931,2.17,2254,49,609.2,Yes,September 4-September 10
11217,Boerum Hill/Park Slope,"11217, 11243",40.682417,-73.97938,1.75,2117,37,905.3,Yes,September 4-September 10
11218,Kensington/Windsor Terrace,11218,40.64348,-73.976044,2.51,2394,60,531.1,Yes,September 4-September 10
