MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_COUNT_WEEK4,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK1,COVID_CASE_COUNT_4WEEK,COVID_CASE_RATE_WEEK4,COVID_CASE_RATE_WEEK3,COVID_CASE_RATE_WEEK2,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,29,34,23,13,99,28.77,33.74,22.82,12.9,98.23,-43,7,6.95,7655,7595.45,1.29
10468,Fordham/Kingsbridge/University Heights,29,28,27,12,96,37.82,36.51,35.21,15.65,125.19,-32,0,0,4908,6400.53,1.96
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,17,8,19,11,55,23.77,11.19,26.57,15.38,76.91,20,7,9.79,5649,7899.79,0.97
10470,Wakefield/Woodlawn,1,2,3,5,11,7.09,14.18,21.27,35.45,77.99,167,0,0,872,6182.75,1.26
10471,Fieldston/North Riverdale/Riverdale,4,7,4,2,17,18.83,32.95,18.83,9.41,80.01,-45,1,4.71,1837,8645.81,0.93
10472,Soundview,18,12,15,14,59,26.5,17.67,22.09,20.61,86.87,-3,2,2.94,3743,5511.39,1.58
10473,Castle Hill/Clason Point/Soundview,18,16,16,11,61,29.07,25.84,25.84,17.76,98.51,-21,1,1.61,3840,6201.02,1.59
10474,Hunts Point,1,2,2,2,7,8.04,16.08,16.08,16.08,56.28,33,0,0,691,5555.53,1.01
10475,Co-op City/Edenwald,9,15,8,5,37,20.57,34.29,18.29,11.43,84.58,-46,0,0,3319,7587.46,1.11
11004,Bellerose/Douglaston-Little Neck,10,4,5,0,19,53.31,21.32,26.65,0,101.29,-64,0,0,1947,10379.26,0.98
11101,Astoria (South)/Long Island City/Sunnyside,3,4,10,10,27,8.52,11.36,28.41,28.41,76.7,186,0,0,3280,9317.09,0.82
11102,Astoria (North),8,7,6,8,29,24.52,21.45,18.39,24.52,88.87,-7,1,3.06,2405,7369.86,1.21
11103,Astoria (North)/Astoria (South),12,7,8,9,36,32.8,19.13,21.87,24.6,98.4,-11,1,2.73,2588,7073.81,1.39
11104,Sunnyside,4,5,5,3,17,16.14,20.18,20.18,12.11,68.62,-11,0,0,1843,7438.74,0.92
