MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
11101,Astoria (South)/Long Island City/Sunnyside,Queens,11101,40.747077,-73.938586,14673,3331,18004,39833.81,48876.71,36835.54,114,309.48
11102,Astoria (North),Queens,11102,40.772498,-73.925912,11099,2411,13510,36941.56,44966.26,30044.75,209,695.63
11103,Astoria (North)/Astoria (South),Queens,11103,40.762536,-73.913541,12953,2990,15943,37074.9,45633.07,34937.39,145,415.03
11104,Sunnyside,Queens,11104,40.744658,-73.920205,7987,1729,9716,31399.05,38196.21,25437.08,104,408.85
11105,Ditmars Steinway,Queens,11105,40.778969,-73.906286,10712,3713,14425,29599.46,39859.24,36189.85,166,458.69
11106,Astoria (South),Queens,11106,40.761792,-73.931771,12334,2482,14816,32953.39,39584.68,37428.62,168,448.85
11109,Long Island City,Queens,11109,40.746211,-73.956999,2069,211,2280,35902.96,39564.4,5762.76,3,52.06
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,11201,40.694609,-73.989581,18005,4285,22290,28903.24,35781.9,62294.06,251,402.93
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,11203,40.649576,-73.934363,21580,2979,24559,29434.88,33498.21,73314.38,500,681.99
11204,Bensonhurst/Mapleton,Brooklyn,11204,40.618774,-73.984824,22810,4910,27720,29589.76,35959.14,77087.49,360,467
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,11205,40.694625,-73.966212,13129,2237,15366,28961.63,33896.29,45332.4,129,284.56
11206,Williamsburg (South),Brooklyn,11206,40.701957,-73.942361,27961,4999,32960,32246.6,38011.79,86709.93,385,444.01
11207,Cypress Hills/East New York,Brooklyn,11207,40.670819,-73.894255,30920,3737,34657,34729.15,38926.53,89031.83,540,606.52
11208,Cypress Hills/East New York,Brooklyn,11208,40.668385,-73.871084,33368,4646,38014,34916.48,39778.09,95565.18,548,573.43
11209,Bay Ridge/Fort Hamilton,Brooklyn,11209,40.621811,-74.030011,21582,4825,26407,31966.49,39113.11,67514.44,319,472.49
11210,Flatlands/Midwood,Brooklyn,11210,40.628165,-73.946316,17644,3781,21425,26860.72,32616.8,65687.01,321,488.68
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn,"11211, 11249",40.712334,-73.953851,32288,5933,38221,31758.58,37594.3,101667.01,300,295.08
11212,Ocean Hill-Brownsville,Brooklyn,11212,40.662935,-73.913011,26875,3194,30069,36333.78,40651.92,73966.99,589,796.3
11213,Crown Heights (East),Brooklyn,11213,40.671074,-73.93633,20103,3825,23928,31118.59,37039.52,64601.26,426,659.43
11214,Bath Beach/Bensonhurst/Gravesend,Brooklyn,11214,40.598729,-73.99621,27065,6016,33081,29160.42,35642.19,92814.16,615,662.61
11215,Gowanus/Park Slope/Windsor Terrace,Brooklyn,11215,40.66252,-73.986872,17852,3930,21782,25640.45,31285.02,69624.37,140,201.08
11216,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,11216,40.680785,-73.94931,16180,3657,19837,29511.89,36182.16,54825.36,196,357.5
11217,Boerum Hill/Park Slope,Brooklyn,"11217, 11243",40.682417,-73.97938,11797,2910,14707,28864.18,35984.2,40870.72,195,477.11
11218,Kensington/Windsor Terrace,Brooklyn,11218,40.64348,-73.976044,22837,3376,26213,30862.51,35424.93,73995.92,385,520.3
11219,Borough Park,Brooklyn,11219,40.632662,-73.996666,26749,4128,30877,29693.88,34276.35,90082.53,447,496.21
11220,Sunset Park,Brooklyn,11220,40.641081,-74.016495,31645,5863,37508,33454.64,39652.92,94590.76,417,440.85
11221,Bedford-Stuyvesant (East)/Bushwick,Brooklyn,11221,40.691339,-73.927885,25810,4242,30052,31691.75,36900.45,81440.74,383,470.28
11222,Greenpoint,Brooklyn,11222,40.728292,-73.947562,11828,3069,14897,32743.3,41239.18,36123.42,89,246.38
11223,Gravesend/Homecrest,Brooklyn,11223,40.597169,-73.973422,27922,4307,32229,34263.64,39548.84,81491.64,401,492.07
11224,Brighton Beach/Coney Island/Seagate,Brooklyn,11224,40.57666,-73.988581,18224,2646,20870,39385.52,45104.03,46270.81,617,1333.45
11225,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,11225,40.663056,-73.954226,14981,2975,17956,26047.71,31220.39,57513.69,293,509.44
11226,Flatbush/Prospect Lefferts Gardens,Brooklyn,11226,40.646456,-73.956654,28951,4745,33696,29737.53,34611.45,97355.08,634,651.22
11228,Bath Beach/Dyker Heights,Brooklyn,11228,40.616715,-74.013054,13815,2297,16112,30711.59,35817.96,44983.02,247,549.1
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,11229,40.601175,-73.944465,27058,5386,32444,32392.58,38840.45,83531.47,480,574.63
