MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
10452,Concourse/Highbridge,Bronx,10452,40.837364,-73.923461,24633,6482,31115,32751.25,41369.5,75212.41,396,526.51
10453,Morris Heights/Mount Hope/University Heights,Bronx,10453,40.852304,-73.913578,25639,5884,31523,32587.43,40066.05,78677.58,396,503.32
10454,Mott Haven/Port Morris,Bronx,10454,40.805487,-73.916605,14066,4108,18174,37182.4,48041.59,37829.72,248,655.57
10455,Mott Haven,Bronx,10455,40.8147,-73.908583,15398,3616,19014,36754.86,45386.21,41893.78,252,601.52
10456,Claremont/Morrisania,Bronx,10456,40.829884,-73.908121,28288,7618,35906,30354.26,38528.71,93192.84,565,606.27
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,10457,40.847151,-73.898676,24048,5281,29329,32620.03,39783.47,73721.56,377,511.38
10458,Belmont/Fordham University/Kingsbridge,Bronx,10458,40.862531,-73.88817,26475,6299,32774,31997.66,39610.62,82740.43,327,395.21
10459,Charlotte Gardens/Hunts Point,Bronx,10459,40.82584,-73.892976,16373,5128,21501,34200.99,44912.69,47872.88,332,693.5
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,10460,40.841753,-73.879584,21004,5683,26687,35675.77,45328.47,58874.7,318,540.13
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,10461,40.847415,-73.840601,19892,6098,25990,40515.03,52935.13,49097.83,320,651.76
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,10462,40.842874,-73.858772,28267,10050,38317,37531.29,50875.1,75315.82,394,523.13
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,10463,40.880824,-73.906514,22682,8376,31058,32410.33,44378.8,69983.86,521,744.46
10464,City Island,Bronx,10464,40.872311,-73.804653,1292,360,1652,30148.91,38549.53,4285.4,22,513.37
10465,Country Club/Throgs Neck,Bronx,10465,40.823931,-73.822886,16044,5640,21684,37205.86,50284.96,43122.23,289,670.19
10466,Edenwald/Wakefield,Bronx,10466,40.890965,-73.845912,23007,4573,27580,32263.31,38676.14,71310.11,360,504.84
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,10467,40.880939,-73.873956,37400,8833,46233,36645.62,45300.45,102058.58,703,688.82
10468,Fordham/Kingsbridge/University Heights,Bronx,10468,40.868161,-73.899844,25664,6732,32396,32982.31,41634,77811.41,427,548.76
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,10469,40.86876,-73.846984,23191,7066,30257,31936.07,41666.57,72616.96,676,930.91
10470,Wakefield/Woodlawn,Bronx,10470,40.895986,-73.86802,5362,1356,6718,35766.26,44811.21,14991.78,70,466.92
10471,Fieldston/North Riverdale/Riverdale,Bronx,10471,40.899509,-73.901518,6881,2547,9428,32394.81,44385.73,21241.06,193,908.62
10472,Soundview,Bronx,10472,40.829561,-73.869393,23101,6584,29685,33982.49,43667.82,67979.13,382,561.94
10473,Castle Hill/Clason Point/Soundview,Bronx,10473,40.818135,-73.858718,23520,5846,29366,39789.86,49679.81,59110.54,346,585.34
10474,Hunts Point,Bronx,10474,40.810595,-73.884618,3577,995,4572,29869.1,38177.68,11975.58,54,450.92
10475,Co-op City/Edenwald,Bronx,10475,40.868941,-73.824854,13978,5512,19490,32706.81,45604.21,42737.28,378,884.47
11004,Bellerose/Douglaston-Little Neck,Queens,"11004, 11005",40.748068,-73.710907,5832,1905,7737,30776.54,40829.58,18949.5,189,997.39
11101,Astoria (South)/Long Island City/Sunnyside,Queens,11101,40.747077,-73.938586,16119,4251,20370,43759.37,55299.85,36835.54,116,314.91
11102,Astoria (North),Queens,11102,40.772498,-73.925912,12420,2911,15331,41338.33,51027.21,30044.75,219,728.91
11103,Astoria (North)/Astoria (South),Queens,11103,40.762536,-73.913541,13908,3856,17764,39808.36,50845.25,34937.39,147,420.75
11104,Sunnyside,Queens,11104,40.744658,-73.920205,8762,2440,11202,34445.78,44038.08,25437.08,110,432.44
11105,Ditmars Steinway,Queens,11105,40.778969,-73.906286,11743,4685,16428,32448.32,45393.94,36189.85,169,466.98
11106,Astoria (South),Queens,11106,40.761792,-73.931771,13542,3269,16811,36180.87,44914.82,37428.62,173,462.21
11109,Long Island City,Queens,11109,40.746211,-73.956999,2188,235,2423,37967.94,42045.85,5762.76,3,52.06
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,11201,40.694609,-73.989581,19260,5689,24949,30917.87,40050.37,62294.06,268,430.22
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,11203,40.649576,-73.934363,23992,3851,27843,32724.82,37977.54,73314.38,514,701.09
11204,Bensonhurst/Mapleton,Brooklyn,11204,40.618774,-73.984824,25358,5914,31272,32895.09,40566.9,77087.49,376,487.76
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,11205,40.694625,-73.966212,14361,2738,17099,31679.33,37719.16,45332.4,135,297.8
11206,Williamsburg (South),Brooklyn,11206,40.701957,-73.942361,30332,6164,36496,34981,42089.76,86709.93,394,454.39
11207,Cypress Hills/East New York,Brooklyn,11207,40.670819,-73.894255,34344,4577,38921,38574.97,43715.83,89031.83,562,631.23
11208,Cypress Hills/East New York,Brooklyn,11208,40.668385,-73.871084,37289,5738,43027,39019.44,45023.72,95565.18,566,592.27
11209,Bay Ridge/Fort Hamilton,Brooklyn,11209,40.621811,-74.030011,23896,6270,30166,35393.91,44680.81,67514.44,335,496.19
11210,Flatlands/Midwood,Brooklyn,11210,40.628165,-73.946316,19596,4623,24219,29832.38,36870.31,65687.01,333,506.95
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn,"11211, 11249",40.712334,-73.953851,34842,6962,41804,34270.71,41118.55,101667.01,311,305.9
11212,Ocean Hill-Brownsville,Brooklyn,11212,40.662935,-73.913011,30072,3803,33875,40655.97,45797.46,73966.99,604,816.58
11213,Crown Heights (East),Brooklyn,11213,40.671074,-73.93633,22149,4588,26737,34285.71,41387.74,64601.26,439,679.55
11214,Bath Beach/Bensonhurst/Gravesend,Brooklyn,11214,40.598729,-73.99621,30038,7601,37639,32363.6,40553.08,92814.16,639,688.47
11215,Gowanus/Park Slope/Windsor Terrace,Brooklyn,11215,40.66252,-73.986872,19044,5081,24125,27352.49,34650.23,69624.37,142,203.95
