week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White
09/16/2023,97.26,99.92,89.82,108.86,81.27
09/23/2023,106.34,104.16,93.34,119.28,98.05
09/30/2023,87.82,85.18,81.37,89.37,80.35
10/07/2023,71.66,66.85,63.99,74.22,65.06
10/14/2023,52.56,47.45,45.52,53.21,50
10/21/2023,47.2,43.77,45.62,45.91,43.47
10/28/2023,42.04,38.89,39.16,42.32,38.24
11/04/2023,33.61,29.15,29.18,35.67,31.84
11/11/2023,38.62,34.81,32.64,38.3,39.51
11/18/2023,44.84,34.35,39.98,46.03,46.44
11/25/2023,49.04,38.62,47.82,50.32,47.92
12/02/2023,66.32,56.99,61.05,73.05,60.18
12/09/2023,74.31,60.62,69.39,79.79,69.52
12/16/2023,105.41,84.36,95.92,113.72,102.83
12/23/2023,143.18,113.6,129.16,154.97,138
12/30/2023,167.88,133.85,160.1,190.84,142.69
01/06/2024,173.35,143.71,177.25,198.06,140.29
01/13/2024,155.13,123.78,160.58,171.43,131.52
01/20/2024,108.75,86.51,118.15,118.55,95.26
01/27/2024,98.39,80.08,105.69,107.51,87.14
02/03/2024,73.7,59.67,74.55,82.16,67.01
02/10/2024,59.11,44.31,57.45,64.7,57.85
02/17/2024,44.61,36.75,41.55,48.54,43.74
02/24/2024,34.16,28.84,29.45,36.12,33.83
03/02/2024,29.15,26.58,27.81,28.84,28.24
03/09/2024,21.26,19.29,18.44,21.82,21.02
03/16/2024,16.64,14.36,17.03,18.4,15.12
03/23/2024,14.23,12.64,15.08,13.98,13.39
03/30/2024,12.74,12.88,14.46,10.88,11.67
04/06/2024,11.59,9.96,13.17,9.57,11.21
04/13/2024,11.67,10.08,13.66,9.76,11.06
04/20/2024,11.58,10.21,13.74,10.25,10.14
04/27/2024,11.23,9.43,12.82,10.64,9.33
05/04/2024,13.36,11.04,14.27,12.71,12.24
05/11/2024,,1.69,1.97,2.41,1.64
